Date,Region,Channel,Product category,Traffic source,Net Sales,Sq Footage,Total Transactions,Units Sold,Total Visitors,Number of Sales,Store Entrances,Website Sessions,Total Gross Profit,Avg Inventory Cost,COGS,Avg Inventory Value,Beginning Inventory,Recorded Value,Actual Value,Retail Sales,Start Customers,End Customers,New Customers,Customers Lost,Sales Marketing Expenses,Avg Purchase Value,Avg Purchase Frequency,Avg Customer Lifespan Years,Revenue From Ads,Cost Of Ads,Total Revenue,Total Expenses,Cash,Marketable Securities,Accounts Receivable,Current Liabilities,Current Assets
2025-01-01,North,In-Store,Home,Paid Search,32000.52,3328,499,1258,6786,499,3068,1537,8286.19,16298.47,23714.33,28558.79,1552,32191.41,31289.75,32000.52,6464,6576,234,122,7564.32,64.13,3.31,4.48,13240.43,6191.06,32000.52,23933.67,20282.92,4306.28,19560.36,14337.04,52717.2
2025-01-02,West,In-Store,Home,Email,146826.06,3666,1961,4365,25016,1961,15688,6644,73239.98,104137.83,73586.08,109596.57,8514,149929.55,138484.82,146826.06,3866,4123,415,158,14800.49,74.87,7.06,4.47,11103.85,3350.95,146826.06,130959.84,13945.98,7105.41,17414.03,51512.86,71344.39
2025-01-03,North,Mobile,Electronics,Direct,36105.23,3505,1634,2723,21635,1634,0,21635,16480.18,18406.72,19625.05,20791.29,5987,36165.82,35650.25,36105.23,8594,8560,181,215,5114.5,22.1,2.87,4.77,19511.7,7072.76,36105.23,29945.81,26759.75,18290.95,12553.59,24422.57,63841.68
2025-01-04,South,Mobile,Sports,Direct,136486.38,3652,1834,5475,41715,1834,0,41715,43101.88,122669.7,93384.5,112773.09,7217,136679.3,126943.9,136486.38,7140,6883,101,358,7199.16,74.42,1.91,2.53,28826.46,7970.91,136486.38,128280.47,52342.88,229.62,18576.6,50266.04,104981.03
2025-01-05,Central,Web,Home,Organic Search,82779.62,3904,1938,2145,30603,1938,0,30603,38567.37,73338.11,44212.25,62320.25,3989,83043.88,80554.56,82779.62,8894,8972,347,269,9721.1,42.71,2.49,4.05,20974.5,4545.34,82779.62,65033.64,5031.45,6483.12,2447.97,65604.11,32658.61
2025-01-06,East,In-Store,Apparel,Paid Search,22732.39,2145,2070,5824,26309,2070,18932,3623,10182.41,19855.02,12549.98,11697.86,10983,23146.07,23080.08,22732.39,6417,6440,406,383,10813.21,10.98,6.13,2.6,16577.96,5537.65,22732.39,20797.07,29831.74,4958.11,3472.6,9304.12,41771.81
2025-01-07,Central,In-Store,Sports,Paid Search,20210.81,1558,321,507,4318,321,3954,523,6495.78,14844.62,13715.03,13322.64,695,20778.04,20065.01,20210.81,5872,5764,144,252,12401.21,62.96,2.74,1.39,11923.99,3732.88,20210.81,15430.12,45099.17,13467.29,24635.8,14101.91,87199.05
2025-01-08,West,Mobile,Home,Organic Search,40953.49,3536,1917,2673,61820,1917,0,61820,15922.24,34288.02,25031.25,21534.58,6015,42005.13,38973.73,40953.49,7342,7621,296,17,14581.45,21.36,7.52,4.39,6015.3,1747.33,40953.49,27635.89,27057.22,1172.71,10716.38,69089.15,45406.68
2025-01-09,East,Web,Home,Social,34625.05,5486,1295,2016,55085,1295,0,55085,16298.74,14905.35,18326.31,19258.82,2550,35120.31,34893.82,34625.05,6350,6411,100,39,14470.52,26.74,2.02,1.74,20847.81,4962.76,34625.05,23625.41,11593.76,17805.75,7662.95,44860.19,42840.11
2025-01-10,Central,In-Store,Beauty,Direct,62415.61,5782,1148,1755,18230,1148,9902,3987,28181.09,34328.49,34234.52,36046.96,3821,62551.44,59840.64,62415.61,6612,6636,71,47,8758.06,54.37,4.79,1.53,5534.2,3117.57,62415.61,42785.87,20674.31,8763.69,14494.01,26756.06,54746.1
2025-01-11,Central,In-Store,Sports,Email,169495.96,2348,630,1042,8585,630,7258,1258,56700.95,85648.82,112795.01,121176.16,2181,173832.92,166954.82,169495.96,4057,4504,483,36,2746.03,269.04,4.25,2.11,2414.14,526.59,169495.96,139493.43,19407.54,14824.62,14688.65,34516.59,85273.66
2025-01-12,North,In-Store,Apparel,Paid Search,14196.84,5969,1592,3698,55113,1592,26259,10608,7378.02,11329.95,6818.82,10150.24,8759,14286.31,13428.59,14196.84,2842,2747,201,296,13435.82,8.92,4.14,3.48,8659.97,1659.15,14196.84,12814.24,58691.33,16215.43,22272.57,9536.75,100224.4
2025-01-13,East,Web,Electronics,Email,143428.42,2804,522,993,23383,522,0,23383,56110.2,71683.58,87318.22,134012.64,1642,146959.07,145446.25,143428.42,3826,3511,32,347,4107.25,274.77,3.63,4.46,20282.24,7751.67,143428.42,118259.4,26982.31,19622.99,14332.96,66232.7,101142.05
2025-01-14,North,Web,Electronics,Direct,14580.24,3674,1859,3394,27669,1859,0,27669,5553.88,13007.29,9026.36,8056.18,8041,14663.38,13542.38,14580.24,5572,5316,20,276,13995.26,7.84,5.0,3.88,25365.4,6064.63,14580.24,10606.8,8848.56,13284.75,9594.6,27462.77,34144.76
2025-01-15,North,Mobile,Home,Direct,122705.58,4033,1416,2754,37520,1416,0,37520,35362.07,74877.79,87343.51,135582.54,5729,126028.96,122152.46,122705.58,4465,4402,227,290,12755.29,86.66,3.48,1.84,25103.8,6393.19,122705.58,87462.97,29298.23,13512.54,13757.0,57211.59,97242.53
