Week Start,Region,Product category,Supplier,Units Ordered,Units Received,Backorder Units,On Hand Units,Supplier Fill Rate,Lead Time Days,Stockout Days,Inbound Freight Cost,Purchase Price Per Unit,Lead Time Unit Days,Days In Period
2024-12-31,Central,Apparel,Kestrel Logistics,18943,18723,220,55103,0.9884,10.96,0.05,36358.9,18.7199,205171.06,7
2024-12-31,Central,Apparel,Northwind Foods,16413,15727,686,48933,0.9582,11.71,1.7,29719.25,18.7199,184098.54,7
2024-12-31,Central,Beauty,Kestrel Logistics,11545,11294,251,36406,0.9783,11.41,0.34,20670.5,25.4113,128916.92,7
2024-12-31,Central,Beauty,Northwind Foods,12513,11995,518,37959,0.9586,10.21,0.71,23219.45,25.4113,122460.26,7
2024-12-31,Central,Electronics,Kestrel Logistics,5205,5004,201,12908,0.9614,9.84,0.64,9470.95,31.2916,49250.61,7
2024-12-31,Central,Electronics,Northwind Foods,7273,6896,377,23485,0.9482,12.39,0.28,11659.12,31.2916,85427.72,7
2024-12-31,Central,Home,Kestrel Logistics,9500,9110,390,26100,0.9589,12.22,0.87,17877.56,18.4972,111281.32,7
2024-12-31,Central,Home,Northwind Foods,9995,9474,521,29202,0.9479,10.99,0.58,16087.58,18.4972,104149.96,7
2024-12-31,Central,Sports,Kestrel Logistics,3511,3279,232,10890,0.9339,10.92,0.9,6258.74,18.391,35804.72,7
2024-12-31,Central,Sports,Northwind Foods,5126,5024,102,14888,0.9801,8.29,0.06,8953.87,18.391,41646.94,7
2024-12-31,East,Apparel,Kestrel Logistics,7455,7226,229,25431,0.9693,10.81,0.02,13039.22,16.9944,78132.12,7
2024-12-31,East,Apparel,Northwind Foods,14365,13975,390,46976,0.9729,10.4,0.4,25005.53,16.9944,145325.91,7
2024-12-31,East,Beauty,Kestrel Logistics,4955,4653,302,13769,0.9391,11.19,0.34,8916.25,20.878,52079.51,7
2024-12-31,East,Beauty,Northwind Foods,5111,4877,234,15402,0.9542,10.3,0.17,8661.11,20.878,50221.98,7
2024-12-31,East,Electronics,Kestrel Logistics,4167,3981,186,9378,0.9554,10.55,0.24,7647.86,36.0828,41985.65,7
2024-12-31,East,Electronics,Northwind Foods,11314,10933,381,31772,0.9663,13.69,0.17,19597.68,36.0828,149706.42,7
2024-12-31,East,Home,Kestrel Logistics,9280,8959,321,25806,0.9654,13.79,2.44,16382.37,15.9506,123568.31,7
2024-12-31,East,Home,Northwind Foods,12433,12050,383,42146,0.9692,11.41,0.14,21629.09,15.9506,137471.16,7
2024-12-31,East,Sports,Kestrel Logistics,11960,11490,470,37368,0.9607,13.54,0.3,21419.99,12.6656,155580.87,7
2024-12-31,East,Sports,Northwind Foods,5946,5909,37,18837,0.9938,10.23,0.53,10951.09,12.6656,60448.94,7
2024-12-31,North,Apparel,Kestrel Logistics,18854,18255,599,48504,0.9682,13.49,0.88,34960.19,17.4346,246344.92,7
2024-12-31,North,Apparel,Northwind Foods,15111,14304,807,36296,0.9466,11.01,0.07,25239.57,17.4346,157450.6,7
2024-12-31,North,Beauty,Kestrel Logistics,13175,13036,139,40514,0.9894,11.43,0.09,24772.45,27.9095,149000.85,7
2024-12-31,North,Beauty,Northwind Foods,9999,9689,310,34634,0.969,12.05,0.47,17681.47,27.9095,116755.18,7
2024-12-31,North,Electronics,Kestrel Logistics,4523,4394,129,12976,0.9715,10.13,0.25,8367.26,10.2258,44495.15,7
2024-12-31,North,Electronics,Northwind Foods,5226,5122,104,14261,0.9801,10.91,0.09,9468.01,10.2258,55871.38,7
2024-12-31,North,Home,Kestrel Logistics,9793,9241,552,30930,0.9436,12.26,0.52,16420.91,32.6146,113260.52,7
2024-12-31,North,Home,Northwind Foods,5767,5717,50,19458,0.9913,11.11,0.31,10358.92,32.6146,63493.62,7
2024-12-31,North,Sports,Kestrel Logistics,8409,7974,435,28762,0.9483,10.56,0.56,14387.72,19.3976,84179.35,7
2024-12-31,North,Sports,Northwind Foods,10954,10444,510,25645,0.9534,10.98,0.26,19733.77,19.3976,114692.29,7
2024-12-31,South,Apparel,Kestrel Logistics,15848,14901,947,43859,0.9402,12.39,0.27,27660.1,15.3654,184615.45,7
2024-12-31,South,Apparel,Northwind Foods,6492,6219,273,20889,0.9579,10.65,0.17,12344.33,15.3654,66225.54,7
2024-12-31,South,Beauty,Kestrel Logistics,3224,3098,126,10507,0.9609,10.07,0.59,5563.53,27.2015,31184.43,7
2024-12-31,South,Beauty,Northwind Foods,4902,4786,116,12240,0.9763,12.72,0.9,8245.99,27.2015,60855.07,7
2024-12-31,South,Electronics,Kestrel Logistics,3292,3117,175,7663,0.9468,11.53,0.39,6075.8,32.7748,35942.45,7
2024-12-31,South,Electronics,Northwind Foods,8422,7904,518,25111,0.9385,10.06,0.28,13891.79,32.7748,79545.67,7
2024-12-31,South,Home,Kestrel Logistics,7799,7644,155,31808,0.9801,12.6,0.04,14098.24,18.53,96347.93,7
2024-12-31,South,Home,Northwind Foods,4908,4764,144,13881,0.9707,13.14,0.27,9154.28,18.53,62592.03,7
2024-12-31,South,Sports,Kestrel Logistics,15001,14986,15,40828,0.999,10.63,0.09,27602.56,15.3013,159305.58,7
2024-12-31,South,Sports,Northwind Foods,9690,9680,10,29099,0.999,9.25,1.18,18167.73,15.3013,89514.9,7
2024-12-31,West,Apparel,Kestrel Logistics,4101,3884,217,14208,0.9471,10.63,2.12,7372.16,20.2231,41269.37,7
2024-12-31,West,Apparel,Northwind Foods,5625,5470,155,14361,0.9724,9.7,0.18,10554.84,20.2231,53043.44,7
2024-12-31,West,Beauty,Kestrel Logistics,3225,3128,97,11019,0.9699,9.01,0.25,5731.29,31.3904,28178.15,7
2024-12-31,West,Beauty,Northwind Foods,2388,2213,175,7336,0.9267,13.25,0.07,4237.34,31.3904,29313.78,7
2024-12-31,West,Electronics,Kestrel Logistics,7394,7080,314,24538,0.9575,9.84,0.46,13533.55,26.2874,69667.37,7
2024-12-31,West,Electronics,Northwind Foods,6934,6590,344,20377,0.9504,8.73,0.96,11806.52,26.2874,57554.35,7
2024-12-31,West,Home,Kestrel Logistics,5607,5397,210,16517,0.9625,11.87,0.22,10536.6,20.2679,64057.3,7
2024-12-31,West,Home,Northwind Foods,10574,10087,487,27083,0.9539,11.4,0.88,20108.42,20.2679,115014.34,7
2024-12-31,West,Sports,Kestrel Logistics,4574,4427,147,15554,0.9679,12.65,0.28,8256.3,28.5946,55983.66,7
2024-12-31,West,Sports,Northwind Foods,2067,2034,33,6319,0.984,11.61,0.82,4060.48,28.5946,23619.68,7
2025-01-07,Central,Apparel,Kestrel Logistics,18921,17906,1015,49558,0.9464,12.66,0.17,31666.59,23.2848,226755.7,7
2025-01-07,Central,Apparel,Northwind Foods,15633,15041,592,46904,0.9621,8.53,0.19,26476.31,23.2848,128325.0,7
2025-01-07,Central,Beauty,Kestrel Logistics,14678,14036,642,33368,0.9563,12.02,0.55,23549.18,23.5958,168770.16,7
2025-01-07,Central,Beauty,Northwind Foods,15948,14909,1039,45082,0.9349,10.56,0.55,29484.19,23.5958,157484.76,7
2025-01-07,Central,Electronics,Kestrel Logistics,8243,8217,26,27188,0.9968,11.01,0.44,14602.79,24.829,90444.02,7
2025-01-07,Central,Electronics,Northwind Foods,11746,11324,422,24210,0.9641,9.15,0.28,22525.59,24.829,103582.94,7
2025-01-07,Central,Home,Kestrel Logistics,10494,10312,182,29935,0.9827,12.62,0.23,19009.86,11.2825,130117.35,7
2025-01-07,Central,Home,Northwind Foods,11086,10724,362,30679,0.9673,11.33,0.07,21747.35,11.2825,121511.27,7
2025-01-07,Central,Sports,Kestrel Logistics,4906,4630,276,16292,0.9437,11.04,0.07,9586.96,23.0853,51129.34,7
2025-01-07,Central,Sports,Northwind Foods,7419,7093,326,23468,0.9561,8.78,0.07,13596.13,23.0853,62281.1,7
2025-01-07,East,Apparel,Kestrel Logistics,5070,4826,244,17934,0.9519,11.71,0.3,8773.23,27.6571,56501.33,7
2025-01-07,East,Apparel,Northwind Foods,9850,9334,516,29855,0.9476,9.48,0.4,16982.85,27.6571,88492.58,7
2025-01-07,East,Beauty,Kestrel Logistics,12083,11481,602,35732,0.9502,12.8,0.21,20175.96,22.6244,146980.2,7
2025-01-07,East,Beauty,Northwind Foods,12046,12034,12,38349,0.999,12.09,0.17,21489.44,22.6244,145468.23,7
2025-01-07,East,Electronics,Kestrel Logistics,5557,5272,285,13299,0.9487,12.3,0.57,9482.63,23.0132,64835.67,7
2025-01-07,East,Electronics,Northwind Foods,14771,14477,294,44724,0.9801,10.25,0.44,26340.77,23.0132,148403.13,7
2025-01-07,East,Home,Kestrel Logistics,9018,8765,253,18334,0.9719,8.7,0.11,16044.6,19.0709,76250.72,7
2025-01-07,East,Home,Northwind Foods,12009,11790,219,39556,0.9818,12.91,0.48,20448.0,19.0709,152153.04,7
2025-01-07,East,Sports,Kestrel Logistics,13726,13236,490,39821,0.9643,12.34,0.21,23389.72,27.084,163357.6,7
2025-01-07,East,Sports,Northwind Foods,7074,6806,268,18936,0.9621,11.86,1.07,12874.27,27.084,80700.67,7
2025-01-07,North,Apparel,Kestrel Logistics,19259,18740,519,53076,0.9731,9.3,0.2,37107.11,16.4508,174374.14,7
2025-01-07,North,Apparel,Northwind Foods,15405,14684,721,39745,0.9532,10.64,0.04,26944.75,16.4508,156205.21,7
2025-01-07,North,Beauty,Kestrel Logistics,6657,6277,380,21405,0.9429,9.32,0.05,12734.02,14.13,58505.96,7
2025-01-07,North,Beauty,Northwind Foods,4876,4665,211,17182,0.9567,12.32,0.01,8017.7,14.13,57473.44,7
2025-01-07,North,Electronics,Kestrel Logistics,10245,9918,327,28024,0.9681,10.94,0.15,18532.61,24.8964,108540.87,7
2025-01-07,North,Electronics,Northwind Foods,12274,11562,712,31741,0.942,10.75,0.19,20668.84,24.8964,124295.06,7
2025-01-07,North,Home,Kestrel Logistics,7179,6948,231,22663,0.9678,10.12,0.45,13872.04,21.4442,70332.63,7
2025-01-07,North,Home,Northwind Foods,4327,4299,28,10858,0.9935,12.0,0.18,8461.82,21.4442,51595.54,7
2025-01-07,North,Sports,Kestrel Logistics,7016,6807,209,15449,0.9702,11.14,0.32,12155.66,26.12,75819.64,7
2025-01-07,North,Sports,Northwind Foods,9259,8915,344,25918,0.9628,10.04,0.7,16880.18,26.12,89520.71,7
2025-01-07,South,Apparel,Kestrel Logistics,9638,9339,299,29540,0.969,14.2,0.16,16780.52,35.6248,132636.49,7
2025-01-07,South,Apparel,Northwind Foods,3943,3898,45,11840,0.9886,12.41,0.73,6929.05,35.6248,48370.07,7
2025-01-07,South,Beauty,Kestrel Logistics,9982,9831,151,29225,0.9849,11.44,0.33,17838.93,23.9494,112481.18,7
2025-01-07,South,Beauty,Northwind Foods,15861,15189,672,51001,0.9576,8.89,0.82,30754.02,23.9494,135023.02,7
2025-01-07,South,Electronics,Kestrel Logistics,2986,2964,22,11079,0.9926,12.43,0.16,5197.23,27.9601,36831.66,7
2025-01-07,South,Electronics,Northwind Foods,7729,7518,211,21513,0.9727,9.48,0.65,14133.36,27.9601,71262.0,7
2025-01-07,South,Home,Kestrel Logistics,14651,13815,836,45137,0.9429,10.06,1.55,25591.48,13.8652,138916.63,7
2025-01-07,South,Home,Northwind Foods,8893,8611,282,25854,0.9683,9.69,0.31,15009.3,13.8652,83406.47,7
2025-01-07,South,Sports,Kestrel Logistics,14389,14313,76,46607,0.9947,10.89,0.69,26145.8,25.2302,155916.11,7
2025-01-07,South,Sports,Northwind Foods,9832,9246,586,25885,0.9404,10.18,0.31,16827.36,25.2302,94078.24,7
2025-01-07,West,Apparel,Kestrel Logistics,10008,9625,383,27223,0.9617,11.68,0.52,17740.82,17.8299,112392.88,7
2025-01-07,West,Apparel,Northwind Foods,13610,13556,54,33339,0.996,11.45,0.77,23223.95,17.8299,155249.77,7
2025-01-07,West,Beauty,Kestrel Logistics,16229,16088,141,44649,0.9913,9.14,0.16,28493.36,24.9568,147014.6,7
2025-01-07,West,Beauty,Northwind Foods,11882,11384,498,29043,0.9581,10.99,0.61,22691.81,24.9568,125132.08,7
2025-01-07,West,Electronics,Kestrel Logistics,5466,5187,279,14381,0.949,10.93,0.07,7933.76,15.2582,56672.42,7
2025-01-07,West,Electronics,Northwind Foods,5108,4827,281,16723,0.945,12.02,0.1,9330.65,15.2582,58015.23,7
2025-01-07,West,Home,Kestrel Logistics,8934,8558,376,30497,0.9579,10.01,0.3,14320.01,14.2859,85658.44,7
2025-01-07,West,Home,Northwind Foods,16377,15993,384,52246,0.9766,12.63,0.43,28400.1,14.2859,201934.47,7
2025-01-07,West,Sports,Kestrel Logistics,12865,12377,488,41700,0.9621,10.95,0.06,23903.54,22.8647,135557.4,7
2025-01-07,West,Sports,Northwind Foods,5893,5686,207,17000,0.9649,8.76,0.4,11169.29,22.8647,49791.25,7
2025-01-14,Central,Apparel,Kestrel Logistics,13496,13366,130,40676,0.9904,11.23,0.68,25084.75,21.866,150037.61,7
2025-01-14,Central,Apparel,Northwind Foods,11560,11226,334,35892,0.9711,12.81,0.13,19694.04,21.866,143853.71,7
2025-01-14,Central,Beauty,Kestrel Logistics,5602,5471,131,20152,0.9766,9.78,0.33,10808.18,34.9934,53514.66,7
2025-01-14,Central,Beauty,Northwind Foods,6011,5810,201,19049,0.9666,10.72,0.35,11394.33,34.9934,62285.89,7
2025-01-14,Central,Electronics,Kestrel Logistics,6250,6026,224,15931,0.9642,9.56,0.11,9916.87,36.0093,57599.86,7
2025-01-14,Central,Electronics,Northwind Foods,8949,8306,643,22952,0.9281,13.46,0.22,15054.33,36.0093,111806.01,7
2025-01-14,Central,Home,Kestrel Logistics,2898,2733,165,9208,0.9431,11.8,0.31,5249.73,36.214,32244.06,7
2025-01-14,Central,Home,Northwind Foods,2993,2843,150,7454,0.9499,9.98,0.97,5023.25,36.214,28385.79,7
2025-01-14,Central,Sports,Kestrel Logistics,7743,7425,318,20794,0.9589,12.78,1.04,13698.94,29.9446,94924.37,7
2025-01-14,Central,Sports,Northwind Foods,11985,11376,609,38900,0.9492,8.4,0.25,23254.22,29.9446,95576.27,7
2025-01-14,East,Apparel,Kestrel Logistics,7005,6593,412,18127,0.9412,12.26,0.17,13660.31,24.3412,80823.08,7
2025-01-14,East,Apparel,Northwind Foods,12993,12752,241,28139,0.9815,11.87,0.13,22875.42,24.3412,151415.59,7
2025-01-14,East,Beauty,Kestrel Logistics,10608,10144,464,30181,0.9563,10.77,0.17,17614.36,24.1578,109295.79,7
2025-01-14,East,Beauty,Northwind Foods,11012,10633,379,34063,0.9656,11.78,0.65,20070.11,24.1578,125271.24,7
2025-01-14,East,Electronics,Kestrel Logistics,4688,4609,79,12931,0.9831,10.8,0.01,8952.95,25.4539,49795.15,7
2025-01-14,East,Electronics,Northwind Foods,13198,12658,540,38822,0.9591,9.51,0.3,23278.08,25.4539,120397.73,7
2025-01-14,East,Home,Kestrel Logistics,6902,6827,75,21351,0.9891,11.68,0.6,13131.59,23.2723,79743.58,7
2025-01-14,East,Home,Northwind Foods,9423,9184,239,31011,0.9746,9.63,0.99,16930.62,23.2723,88484.8,7
2025-01-14,East,Sports,Kestrel Logistics,9872,9403,469,28765,0.9525,13.07,0.09,16148.14,30.7485,122874.0,7
2025-01-14,East,Sports,Northwind Foods,5025,4835,190,15558,0.9622,12.13,0.8,8226.93,30.7485,58646.09,7
2025-01-14,North,Apparel,Kestrel Logistics,15463,14989,474,47520,0.9693,12.29,0.27,27338.39,21.7704,184280.84,7
2025-01-14,North,Apparel,Northwind Foods,12222,11745,477,37523,0.961,11.52,1.18,20929.89,21.7704,135307.98,7
2025-01-14,North,Beauty,Kestrel Logistics,12570,11885,685,37302,0.9455,10.33,0.42,22687.28,20.3791,122776.95,7
2025-01-14,North,Beauty,Northwind Foods,9123,8833,290,23454,0.9682,10.58,0.86,16613.9,20.3791,93488.45,7
2025-01-14,North,Electronics,Kestrel Logistics,13933,13503,430,46302,0.9691,10.46,0.45,24058.07,13.7099,141227.04,7
2025-01-14,North,Electronics,Northwind Foods,16285,15742,543,51854,0.9667,11.66,0.63,32713.69,13.7099,183601.16,7
2025-01-14,North,Home,Kestrel Logistics,15005,14987,18,39588,0.9988,9.51,0.03,26740.77,20.7052,142591.28,7
2025-01-14,North,Home,Northwind Foods,9280,9271,9,29246,0.999,11.38,0.17,16882.08,20.7052,105474.87,7
2025-01-14,North,Sports,Kestrel Logistics,5733,5503,230,15620,0.9599,11.89,0.69,10757.76,24.9389,65428.32,7
2025-01-14,North,Sports,Northwind Foods,7589,7207,382,19449,0.9497,9.77,0.92,14052.52,24.9389,70381.55,7
2025-01-14,South,Apparel,Kestrel Logistics,15649,14935,714,44127,0.9544,9.62,0.04,30483.55,28.5333,143675.92,7
2025-01-14,South,Apparel,Northwind Foods,6641,6234,407,19141,0.9387,12.24,0.92,11274.76,28.5333,76312.68,7
2025-01-14,South,Beauty,Kestrel Logistics,12727,12558,169,32405,0.9867,10.25,0.03,24428.67,16.5633,128771.87,7
2025-01-14,South,Beauty,Northwind Foods,19987,19401,586,50105,0.9707,11.94,0.18,34619.67,16.5633,231625.82,7
2025-01-14,South,Electronics,Kestrel Logistics,6291,5997,294,11043,0.9533,12.98,0.79,10339.15,21.2149,77863.38,7
2025-01-14,South,Electronics,Northwind Foods,15979,15210,769,33775,0.9519,11.02,0.14,30184.9,21.2149,167661.46,7
