Date,Region,Channel,Product category,Traffic source,Net Sales,Sq Footage,Total Transactions,Units Sold,Total Visitors,Number of Sales,Store Entrances,Website Sessions,Total Gross Profit,Avg Inventory Cost,COGS,Avg Inventory Value,Beginning Inventory,Recorded Value,Actual Value,Retail Sales,Start Customers,End Customers,New Customers,Customers Lost,Sales Marketing Expenses,Avg Purchase Value,Avg Purchase Frequency,Avg Customer Lifespan Years,Revenue From Ads,Cost Of Ads,Total Revenue,Total Expenses,Cash,Marketable Securities,Accounts Receivable,Current Liabilities,Current Assets
2025-01-06,East,In-Store,Apparel,Paid Search,22732.39,2145,2070,5824,26309,2070,18932,3623,10182.41,19855.02,12549.98,11697.86,10983,23146.07,23080.08,22732.39,6417,6440,406,383,10813.21,10.98,6.13,2.6,16577.96,5537.65,22732.39,20797.07,29831.74,4958.11,3472.6,9304.12,41771.81
2025-01-07,Central,In-Store,Sports,Paid Search,20210.81,1558,321,507,4318,321,3954,523,6495.78,14844.62,13715.03,13322.64,695,20778.04,20065.01,20210.81,5872,5764,144,252,12401.21,62.96,2.74,1.39,11923.99,3732.88,20210.81,15430.12,45099.17,13467.29,24635.8,14101.91,87199.05
2025-01-10,Central,In-Store,Beauty,Direct,62415.61,5782,1148,1755,18230,1148,9902,3987,28181.09,34328.49,34234.52,36046.96,3821,62551.44,59840.64,62415.61,6612,6636,71,47,8758.06,54.37,4.79,1.53,5534.2,3117.57,62415.61,42785.87,20674.31,8763.69,14494.01,26756.06,54746.1
2025-01-11,Central,In-Store,Sports,Email,169495.96,2348,630,1042,8585,630,7258,1258,56700.95,85648.82,112795.01,121176.16,2181,173832.92,166954.82,169495.96,4057,4504,483,36,2746.03,269.04,4.25,2.11,2414.14,526.59,169495.96,139493.43,19407.54,14824.62,14688.65,34516.59,85273.66
2025-02-18,East,In-Store,Home,Organic Search,56873.28,4666,695,1251,12644,695,6130,2591,30729.14,42611.74,26144.14,29113.24,2468,58473.7,55244.0,56873.28,5085,5256,349,178,12477.99,81.83,5.86,4.32,25623.05,6040.81,56873.28,44602.17,40531.37,8468.13,10322.05,30481.06,68055.52
2025-03-11,East,In-Store,Apparel,Email,167694.23,2379,1452,2464,18299,1452,13284,4541,89140.91,138436.6,78553.32,92254.32,3574,168260.94,156987.38,167694.23,5759,5969,351,141,11201.08,115.49,1.59,2.35,11386.76,2712.68,167694.23,111953.75,38602.5,12774.52,11326.28,34517.6,90379.6
2025-03-12,East,In-Store,Beauty,Organic Search,176849.85,3013,2035,3621,58338,2035,32463,9955,84202.99,155100.4,92646.86,96496.96,7748,176910.52,172009.16,176849.85,7675,7774,140,41,10515.11,86.9,4.53,1.64,29314.09,5645.55,176849.85,161062.55,47341.26,13805.81,16690.36,66319.41,106786.52
2025-03-14,Central,In-Store,Electronics,Email,83996.58,5762,921,2399,18670,921,17537,4362,22401.11,39140.07,61595.47,69746.99,4637,85404.69,83168.92,83996.58,4524,4893,390,21,6845.31,91.2,6.81,3.98,8132.32,4837.33,83996.58,60526.68,8506.8,19882.47,23495.4,12279.19,72808.77
2025-04-03,Central,In-Store,Sports,Organic Search,141319.44,3694,1582,3540,24186,1582,20703,5621,44595.13,86569.09,96724.31,134329.85,7256,142368.87,140943.02,141319.44,2264,2370,250,144,6205.79,89.33,6.81,2.76,36611.63,7954.68,141319.44,96511.44,49588.65,11758.48,10064.51,52066.75,111710.6
2025-04-07,East,In-Store,Home,Paid Search,76170.75,1924,1331,3493,20378,1331,13399,2595,21217.75,38596.53,54953.0,47388.77,6887,77357.74,73923.47,76170.75,2066,2257,376,185,12530.97,57.23,7.92,2.69,2659.47,1491.31,76170.75,55915.0,45191.99,2048.54,9207.08,62621.32,70664.24
