Date,Region,Channel,Product category,Traffic source,Net Sales,Sq Footage,Total Transactions,Units Sold,Total Visitors,Number of Sales,Store Entrances,Website Sessions,Total Gross Profit,Avg Inventory Cost,COGS,Avg Inventory Value,Beginning Inventory,Recorded Value,Actual Value,Retail Sales,Start Customers,End Customers,New Customers,Customers Lost,Sales Marketing Expenses,Avg Purchase Value,Avg Purchase Frequency,Avg Customer Lifespan Years,Revenue From Ads,Cost Of Ads,Total Revenue,Total Expenses,Cash,Marketable Securities,Accounts Receivable,Current Liabilities,Current Assets
2025-01-01,Central,In-Store,Beauty,Email,160716.07,4827,1552,2970,27717,1552,14375,6213,76068.84,139826.59,84647.23,78791.71,5798,161339.19,151803.85,160716.07,4497,4398,175,274,14440.49,103.55,6.58,3.05,11491.61,6639.56,160716.07,138066.86,36222.32,3564.61,4518.15,37193.4,67942.59
2025-01-01,Central,Mobile,Home,Social,27744.09,4918,1027,1650,18852,1027,0,18852,13450.08,13170.87,14294.01,18271.15,3514,28176.06,27576.26,27744.09,6417,6482,392,327,11134.33,27.01,2.72,2.12,6126.34,1501.37,27744.09,24810.4,46722.82,13359.94,10488.17,19207.65,76052.28
2025-01-06,Central,In-Store,Electronics,Paid Search,53455.75,2011,305,469,8003,305,4245,2442,24421.62,25530.78,29034.13,39870.7,1010,53496.49,52882.41,53455.75,2208,1869,40,379,13413.74,175.26,7.1,1.43,28284.55,5821.7,53455.75,41983.91,19835.16,15231.45,6163.32,60880.36,53191.14
2025-01-06,Central,Mobile,Electronics,Email,124198.65,4000,2173,3513,45316,2173,0,45316,45751.37,84352.68,78447.28,91712.21,7446,126393.92,118715.16,124198.65,6179,6299,470,350,8607.74,57.16,6.91,4.44,2392.3,1094.44,124198.65,97408.84,28991.0,3314.83,13214.64,23940.88,73034.13
2025-01-13,Central,Web,Apparel,Social,163812.43,3947,694,1412,24191,694,0,24191,69293.74,105599.35,94518.69,81349.89,3375,164700.05,158009.0,163812.43,3373,3478,435,330,3407.52,236.04,5.92,3.66,34656.39,6460.36,163812.43,135361.78,12393.72,10889.74,9662.52,45969.99,57350.95
2025-01-13,Central,In-Store,Beauty,Paid Search,31284.76,2511,98,238,1755,98,842,609,15370.42,19917.39,15914.34,21470.54,394,31965.59,30347.92,31284.76,7626,7307,50,369,8342.08,319.23,4.02,2.45,9244.02,2919.16,31284.76,25106.34,15178.11,5756.33,4492.31,25759.96,31867.91
2025-01-20,Central,Web,Apparel,Organic Search,75840.63,5298,704,856,11684,704,0,11684,28668.85,65534.2,47171.78,43159.87,1862,76989.85,70887.45,75840.63,5947,6023,326,250,7452.9,107.73,3.5,1.44,10945.38,5344.2,75840.63,50429.68,43162.06,18891.21,2468.94,50835.64,77470.17
2025-01-20,Central,Mobile,Apparel,Direct,169876.51,5570,1783,2874,47750,1783,0,47750,87509.85,84102.54,82366.66,94935.02,5768,170629.83,166856.64,169876.51,3301,3565,331,67,2681.43,95.28,6.87,4.78,28168.44,6066.9,169876.51,107021.92,8857.17,102.33,6633.55,29333.87,44073.56
2025-01-27,Central,In-Store,Sports,Direct,17928.33,2793,1553,1820,25248,1553,14348,8246,8947.13,11698.23,8981.2,10976.71,3629,17960.14,17880.15,17928.33,8225,8605,500,120,10264.85,11.54,5.86,3.02,18025.27,7134.78,17928.33,12039.67,24477.78,77.41,21088.9,62476.04,48937.1
2025-01-27,Central,Mobile,Beauty,Direct,122922.99,5356,879,1346,23492,879,0,23492,55754.38,94361.64,67168.61,73245.87,1962,125300.97,124700.58,122922.99,4617,4527,45,135,11715.96,139.84,7.85,1.95,12502.71,6331.79,122922.99,96416.41,47700.17,904.21,18013.26,50262.93,88591.4
2025-02-03,Central,In-Store,Home,Organic Search,173738.91,1743,360,868,4755,360,3485,619,48516.6,122891.66,125222.31,151474.76,1540,176194.86,167486.06,173738.91,6844,6697,113,260,5323.47,482.61,6.28,2.17,6150.15,1675.52,173738.91,120979.49,59454.08,9458.15,14513.22,16576.69,128867.88
2025-02-03,Central,Mobile,Electronics,Email,126214.68,3209,164,486,2874,164,0,2874,44475.95,68137.8,81738.73,81246.6,964,129441.91,129100.92,126214.68,4910,5212,410,108,10384.96,769.6,5.81,4.93,30063.6,7539.35,126214.68,100891.37,49514.34,6381.59,9951.18,66765.65,90221.09
2025-02-10,Central,Mobile,Beauty,Social,30528.52,3544,1608,4767,29101,1608,0,29101,11131.56,25942.1,19396.96,29877.21,10583,30689.72,29791.7,30528.52,3758,3900,405,263,12828.41,18.99,2.86,1.11,21169.98,3917.96,30528.52,19555.16,51880.86,14802.83,20773.42,58584.78,96420.27
2025-02-10,Central,Web,Apparel,Paid Search,73199.77,2525,1529,2574,20700,1529,0,20700,28947.61,62943.44,44252.16,43428.49,3985,74728.01,73091.68,73199.77,7750,7637,92,205,10476.4,47.87,2.19,1.29,18678.78,5004.24,73199.77,47935.42,57678.9,18648.57,16996.35,38535.55,106352.37
2025-02-17,Central,Web,Home,Direct,156421.42,4407,718,1323,12506,718,0,12506,46144.3,93508.41,110277.12,149802.71,1856,156788.37,156580.93,156421.42,3660,3878,313,95,4455.75,217.86,6.71,3.71,23645.03,6231.08,156421.42,123117.09,38551.97,15798.56,18109.54,29689.48,117400.88
2025-02-17,Central,Mobile,Electronics,Organic Search,103736.59,4314,408,1250,8163,408,0,8163,37756.65,89119.25,65979.94,52958.72,2999,104912.84,96752.46,103736.59,2520,2325,37,232,14579.9,254.26,7.42,3.81,21449.72,4795.15,103736.59,93362.14,48613.05,1831.3,16084.48,52370.8,82416.45
2025-02-24,Central,Web,Electronics,Direct,159894.53,3532,1592,3441,29666,1592,0,29666,57354.58,107349.23,102539.95,163326.29,6150,163055.6,160710.07,159894.53,5568,5816,276,28,7673.25,100.44,5.12,3.28,4842.61,1837.92,159894.53,110558.04,13717.88,3992.68,9920.7,43642.46,76629.15
2025-02-24,Central,Mobile,Electronics,Organic Search,161869.23,2708,1837,4031,58927,1837,0,58927,44788.48,68968.44,117080.75,155610.99,5999,164048.08,163340.72,161869.23,7145,7156,125,114,11839.31,88.12,3.13,2.09,6057.51,1496.52,161869.23,144352.94,40522.0,14453.95,17445.46,13986.36,119104.71
